accountant;könyvelő
actor;színész
actress,színésznő
architect;építészmérnök
artist;művész
train driver;vonatvezető
translator;fordító
vet;állatorvos
waiter;pincér
waitress;pincérnő
web designer;webtervező
web developer;webfejlesztő
writer;író
businessman;üzletember
businesswoman;üzletasszony
carpenter;asztalos
cashier;pénztáros
chef;séf
chemist;vegyész
cleaner;takarító
comedian;komikus
composer;dalszerző
customs officer;vámtisztviselő
chimney sweep;kéményseprő
researcher;kutató
roofer;tetőfedő
sailor;tengerész
salesman;eladó
saleswoman;eladónő
scientist;tudós
sculptor;szobrász
secretary;titkárnő
security officer;biztonsági őr
shopkeeper;üzletvezető
singer;énekes
software developer;szoftverfejlesztő
soldier;katona
firefighter;tűzoltó
gardener;kertész
glazier;üveges
graphic designer;grafikus tervező
hairdresser;fodrász
illustrator;illusztrátor
miner;bányász
model;modell
teacher;tanár
musician;zenész
nanny;dada
nurse;ápolónő
office worker; irodai dolgozó
optician;szemész
painter;festő
personal trainer;személyi edző
pharmacist;gyógyszerész
photographer;fényképész
physicist;fizikus
baker;pék
barber;borbély
bartender;csapos
artist;művész
beautician;kozmetikus
biologist;biológus
smith;kovács
railwayman;vasutas
bricklayer;kőműves
turner;esztergályos
bus driver;buszvezető
bodyguard;testőr
botanist;botanikus
surgeon;sebész
tailor;szabó
tattoist;tetováló
taxi driver;taxisofór
tiler;hidegburkoló
tourist guide;idegenvezető
dancer;táncos
database administrator;adatbázis adminisztrátor
dentist;fogorvos
doctor;orvos
driving instructor;járművezető oktató
detective;nyomozó
economist;közgazdász
electrician;villanyszerelő
engineer;mérnök
estate agent;ingatlan ügynök
factory worker;gyári dolgozó
farmer;gazda
fashion designer;divattervező
film director;filmrendező
pilot;pilóta
plumber;vízvezetél-szerelő
police officer;rendőr
politician;politikus
postman;postás
priest;pap
programmer;programozó
project manager;projektmenedzser
receptionist;recepciós
judge;bíró
lawyer;ügyvéd
journalist;újságíró
lecturer;egyetemi tanár
librarian;könyvtáros
manager;menedzser
meteorologist;meteorológus
mechanic;szerelő
